temperature,humidity,winddirection,windspeed,precipitation,pm10
-0.9,55,242,20.8,0,23.4012
-1.1,57,237,20.6,0,16.9321
-1.2,60,239,20.2,0,14.6083
-1.3,63,240,17.9,0,17.8871
-1.4,66,241,18,0,12.7671
-1.5,69,240,18.7,0.1,11.0811
-1.5,71,238,19.6,0.1,8.62495
-1.3,72,233,19,0.1,7.3499
-1.4,74,229,17.1,0,8.32386
-1.3,76,233,14.4,0,7.63999
-1.2,77,236,14.3,0,11.1112
-1,78,237,13.3,0,13.1156
-1.2,81,236,12.2,0,11.0668
-0.6,80,233,13.1,0,19.0337
0.1,76,226,13.5,0,27.5771
0.6,74,230,12.3,0,23.1414
1.3,73,239,13.9,0,31.9918
1.4,73,242,14.3,0,23.7363
1.6,72,243,13.7,0,29.1251
1.2,74,249,12,0,34.5915
0.2,78,243,11.8,0,46.4018
-0.5,81,230,9.4,0,36.6133
-0.9,83,227,7.4,0,39.8339
-1.4,86,239,6.3,0,43.3276
-2,86,250,5.4,0,34.4095
-2.3,87,270,5,0,41.8343
-2.4,87,270,5.8,0,41.4066
-2.2,86,254,6.4,0,34.1686
-1.7,85,261,7.3,0,28.5119
-1.4,83,273,7.9,0,21.2317
-2,87,274,9.7,0,0
-2.1,87,260,12.4,0,0
-2,88,257,13.3,0,15.6212
-1.9,87,258,14.3,0,8.23652
-2,86,259,14.7,0,7.83012
-2,83,261,16,0,8.59822
-1.7,81,260,16.1,0,11.9561
-1,76,262,15.6,0,10.8459
-0.2,72,270,13.3,0,14.5867
0.7,67,270,13,0,13.9419
1.4,64,263,15.6,0,14.6556
1.5,66,258,15.5,0,20.8808
1.4,68,257,14.8,0,20.9445
1.1,71,252,14.3,0,22.0862
0.3,73,250,11.5,0,18.2434
-0.2,75,249,8.1,0,9.42857
-0.3,76,249,7,0,31.5171
-0.3,78,254,6.4,0,53.3719
-0.6,85,254,5.2,0,38.0735
-0.5,86,257,4.8,0,37.4015
-0.7,89,255,4.1,0,69.5561
-0.4,89,252,3.4,0,86.562
-0.6,91,218,4.1,0,53.8401
-0.2,90,196,5.2,0,19.4879
0,90,177,6.1,0,12.7236
0.1,91,153,4.8,0,50.8944
0,93,139,3.8,0,41.7939
-0.1,94,126,4.9,0,22.0835
0.1,95,112,6.6,0.1,18.2621
0.2,96,90,5.8,0.1,16.9937
0.1,99,69,5,0,22.493
0.1,99,53,5.4,0,16.1378
0.2,95,39,5.1,0,37.739
0.5,91,42,5.4,0,32.7937
0.9,86,38,5.9,0,35.9878
1.1,83,45,6.6,0,37.9357
1,81,55,7,0,41.762
0.4,82,62,6.9,0,45.729
-0.7,86,66,7.1,0,65.2358
-1.8,88,59,9.2,0,73.4244
-2.4,89,44,9.9,0,70.454
-2.6,89,34,9.6,0,59.8633
-2.4,88,35,10.6,0,40.9405
-2.6,85,34,11.7,0,28.741
-2.8,85,39,11.5,0,37.1407
-3.1,85,45,6.6,0,33.2026
-3.3,84,45,11.2,0,32.8196
-3.6,84,39,13,0,31.7839
-3.9,82,30,12.1,0,30.2669
-4,79,27,11.3,0,19.1612
-4,76,27,11.3,0,16.8229
-4,74,27,10.5,0,21.3101
-4,73,25,10.3,0,40.7272
-4,73,24,9.8,0,72.4188
-3.4,75,25,7.6,0,101.386
-3.3,74,27,7.2,0,65.5776
-2.7,73,14,7.4,0,45.8281
-2.2,72,22,5.8,0,55.1928
-1.7,71,41,6.6,0,32.5873
-1.6,71,55,7,0,35.4514
-1.4,71,56,7.8,0,36.5049
-1.6,72,55,7.5,0,36.6925
-2.1,76,55,5.7,0,59.4599
-2.9,81,50,6.1,0,101.638
-3.5,86,42,4.8,0,152.031
-2.9,84,25,6,0,99.7928
-4.1,90,352,5.4,0,138.106
-4.3,91,338,3.9,0,139.246
-4.2,91,330,2.9,0,181.127
-4.2,91,185,4.3,0,177.963
-4.6,93,186,3.6,0,199.946
-4.7,92,180,2.9,0,156.353
-4.9,93,203,2.7,0,94.1879
-5.1,92,225,3.1,0,77.0981
-5.4,93,233,3.6,0,70.3338
-5.9,94,233,3.6,0,59.2513
-6.4,94,241,4.5,0,66.7258
-6.5,92,255,4.1,0,114.59
-6.1,94,243,4,0,114.352
-5.5,89,248,5.8,0,124.116
-3.9,79,248,5.8,0,72.1814
-2.6,71,240,5,0,47.8233
-1.9,67,227,6.9,0,60.3837
-0.7,61,223,6.4,0,34.5292
0.1,59,209,6.6,0,35.7611
0,63,204,4.3,0,73.5022
-0.5,67,216,6.2,0,145.304
-1.4,73,221,7.1,0,75.2818
-2,78,201,8.1,0,40.356
-1.5,79,198,9.4,0,27.0186
-1.2,87,186,10.9,0,20.4241
-0.6,86,184,11.5,0,19.343
0,86,178,11.9,0,21.0967
0.3,88,174,13.4,0,15.5096
0.5,90,177,12.6,0,16.6488
0.6,91,177,13.3,0,10.6489
0.2,93,176,14.1,0,15.4121
-0.2,92,188,13.4,0,17.7894
-0.5,90,195,12.3,0,23.1593
-0.7,86,198,11.4,0,31.2959
-0.6,83,201,13.1,0,28.4291
